# OVRO Measured IV curve
#   V(mV)      I(uA)
# --------    ------
-4.76772814 -16.0658
-4.75504447 -15.8209
-4.75012867 -15.5949
-4.73743505 -15.4735
-4.7287844 -15.268
-4.71926086 -15.1642
-4.7112618 -15.046
-4.69866206 -14.9282
-4.6926477 -14.819
-4.68122212 -14.7164
-4.67296237 -14.6339
-4.66246552 -14.5144
-4.65259438 -14.4386
-4.64500501 -14.3147
-4.63764947 -14.1709
-4.62299006 -14.0882
-4.61536367 -14.0449
-4.60501463 -13.9561
-4.5969865 -13.855
-4.58028153 -13.7991
-4.56793776 -13.7072
-4.56036186 -13.6342
-4.54939038 -13.5586
-4.5425478 -13.466
-4.53304504 -13.4088
-4.52143922 -13.3534
-4.52125618 -13.2846
-4.50480106 -13.2582
-4.49455546 -13.2262
-4.482817 -13.19
-4.47310026 -13.0822
-4.46751314 -13.0158
-4.45315921 -12.9887
-4.44727634 -12.9198
-4.43543278 -12.8866
-4.42778901 -12.7947
-4.41204834 -12.7598
-4.40564813 -12.7011
-4.39609301 -12.6747
-4.38914741 -12.6427
-4.37212421 -12.5387
-4.36367912 -12.5064
-4.35445103 -12.4641
-4.34032668 -12.4196
-4.33728431 -12.3857
-4.32215299 -12.3453
-4.30844547 -12.2909
-4.30637212 -12.2164
-4.29649286 -12.2042
-4.28933162 -12.1814
-4.27833209 -12.1223
-4.26505504 -12.1088
-4.25646809 -12.0423
-4.24432759 -12.0073
-4.23248335 -11.9745
-4.223608 -11.96
-4.2189519 -11.993
-4.2098641 -11.927
-4.19945947 -11.8709
-4.19202921 -11.8887
-4.16925484 -11.8148
-4.16395535 -11.8145
-4.15136551 -11.7497
-4.14563508 -11.7676
-4.13298149 -11.7403
-4.12599271 -11.7337
-4.11486143 -11.7521
-4.11338676 -11.7372
-4.10079539 -11.6733
-4.08530848 -11.6656
-4.08117176 -11.6872
-4.06521303 -11.6041
-4.06130334 -11.6098
-4.04817542 -11.5674
-4.03814516 -11.5852
-4.02998341 -11.5627
-4.02210721 -11.5487
-4.00927147 -11.5109
-4.00837177 -11.4519
-3.99012056 -11.4232
-3.97752821 -11.4187
-3.96686612 -11.3964
-3.95471223 -11.4281
-3.94753769 -11.3543
-3.93795554 -11.3438
-3.93015754 -11.2838
-3.91492248 -11.2456
-3.90807076 -11.2172
-3.89495206 -11.2282
-3.88533791 -11.1777
-3.87787943 -11.2121
-3.87117956 -11.1532
-3.85981968 -11.1296
-3.84707497 -11.1559
-3.8419241 -11.127
-3.83124093 -11.1171
-3.81727748 -11.0956
-3.80430672 -11.0784
-3.7986972 -11.084
-3.79020311 -11.0217
-3.78514068 -10.9996
-3.76781501 -11.0147
-3.75571722 -11.0134
-3.74822606 -11.0082
-3.73474901 -10.9947
-3.72462997 -11.0059
-3.71717196 -10.9812
-3.70564149 -10.9403
-3.69816512 -10.9264
-3.68936172 -10.9284
-3.67946342 -10.9274
-3.6650216 -10.952
-3.65845458 -10.9326
-3.64980337 -10.9039
-3.63976848 -10.8656
-3.63173036 -10.8292
-3.61690452 -10.8444
-3.61074872 -10.8184
-3.59985093 -10.8171
-3.59280295 -10.7865
-3.58344562 -10.7614
-3.57001991 -10.7177
-3.5628565 -10.755
-3.54656636 -10.7492
-3.53827843 -10.7421
-3.52881919 -10.6593
-3.51331103 -10.6641
-3.50818719 -10.6193
-3.49920474 -10.6678
-3.49012905 -10.6535
-3.47707372 -10.5684
-3.47051082 -10.6054
-3.46129922 -10.5534
-3.44879514 -10.5558
-3.44435706 -10.5782
-3.43033879 -10.4713
-3.4188733 -10.451
-3.41027513 -10.3911
-3.40015571 -10.3437
-3.39233446 -10.3562
-3.38332728 -10.3016
-3.37406519 -10.2793
-3.35847063 -10.2761
-3.34981109 -10.2523
-3.34115767 -10.2249
-3.32840051 -10.1997
-3.31790629 -10.1963
-3.31258942 -10.1474
-3.29930132 -10.1404
-3.29154841 -10.1127
-3.27694484 -10.1148
-3.26824123 -10.0581
-3.25808679 -10.0313
-3.2492536 -9.992
-3.24500477 -9.9619
-3.23006193 -9.9871
-3.22279831 -9.9657
-3.21282874 -9.9478
-3.20224778 -9.9366
-3.18948654 -9.9138
-3.18365135 -9.9345
-3.1735372 -9.884
-3.16188471 -9.9737
-3.15596342 -9.9274
-3.13843159 -9.8873
-3.12805709 -9.8723
-3.1215712 -9.864
-3.11329691 -9.9077
-3.10403346 -9.8862
-3.08953176 -9.8872
-3.07799942 -9.8474
-3.0678746 -9.862
-3.06235195 -9.8165
-3.05223971 -9.8237
-3.04372849 -9.8303
-3.034948 -9.76
-3.01938642 -9.7374
-3.0113228 -9.716
-3.00571477 -9.6619
-2.98842667 -9.6549
-2.9781078 -9.666
-2.97126611 -9.6317
-2.96638056 -9.6232
-2.95663662 -9.5314
-2.94455073 -9.5231
-2.9178713 -9.511
-2.91968609 -9.5023
-2.90600734 -9.4898
-2.9045614 -9.458
-2.8923852 -9.444
-2.88311346 -9.4862
-2.87355103 -9.4641
-2.85986956 -9.4532
-2.85170866 -9.4302
-2.84307139 -9.3933
-2.8325141 -9.427
-2.82602379 -9.4213
-2.80961763 -9.3661
-2.8055484 -9.348
-2.79139821 -9.3187
-2.77956829 -9.3363
-2.77247288 -9.3336
-2.76507118 -9.3346
-2.75330569 -9.3143
-2.74564377 -9.2919
-2.73551283 -9.3101
-2.71850395 -9.2565
-2.71564696 -9.2312
-2.6974272 -9.184
-2.69391173 -9.1931
-2.68320493 -9.1971
-2.67070289 -9.1983
-2.66112503 -9.2441
-2.65298181 -9.2107
-2.6427915 -9.205
-2.63329367 -9.1449
-2.62187684 -9.1548
-2.61638806 -9.1482
-2.60116443 -9.1621
-2.60270387 -9.1389
-2.59026218 -9.1046
-2.57292835 -9.1245
-2.56507119 -9.0993
-2.55365228 -9.0516
-2.54415993 -9.0471
-2.53074446 -9.0562
-2.52980345 -9.0215
-2.51060923 -9.0181
-2.50447965 -9.0355
-2.49459767 -9.0249
-2.4809468 -8.996
-2.471342 -8.94
-2.46405955 -8.9885
-2.4506366 -9.002
-2.4423366 -9.002
-2.43813541 -9.0027
-2.4268386 -8.942
-2.41541552 -9.0144
-2.4003638 -8.986
-2.39870511 -8.9617
-2.38788743 -8.9721
-2.37496121 -8.9287
