# Mixer complete? Yes
232	0.8455	15.42	0.7365	14	2.781	27.25	47.87
233	0.8419	15.55	0.736	14	2.762	27.27	47.84
234	0.8383	15.69	0.7356	14	2.744	27.29	47.81
235	0.8347	15.82	0.7352	14	2.725	27.3	47.79
236	0.8312	15.96	0.7347	14	2.707	27.32	47.76
237	0.8277	16.09	0.7343	14	2.689	27.33	47.73
238	0.8242	16.23	0.7339	14	2.672	27.35	47.7
239	0.8207	16.37	0.7335	14	2.654	27.36	47.68
240	0.8173	16.5	0.7331	14	2.637	27.38	47.65
241	0.8139	16.64	0.7327	14	2.62	27.39	47.63
242	0.8106	16.78	0.7324	14	2.603	27.41	47.6
243	0.8072	16.92	0.732	14	2.586	27.42	47.58
244	0.8039	17.06	0.7316	14	2.569	27.43	47.56
245	0.8006	17.2	0.7313	14	2.553	27.45	47.53
246	0.7974	17.34	0.7308	14	2.537	27.46	47.5
247	0.7941	17.48	0.7304	14	2.52	27.48	47.48
248	0.7909	17.62	0.73	14	2.504	27.49	47.45
249	0.7878	17.76	0.7297	14	2.488	27.51	47.43
250	0.7846	17.91	0.7293	14	2.473	27.52	47.41
251	0.7815	18.05	0.729	14	2.457	27.53	47.38
252	0.7784	18.19	0.7286	14	2.442	27.55	47.36
253	0.7753	18.34	0.7283	14	2.427	27.56	47.34
254	0.7723	18.48	0.728	14	2.412	27.57	47.32
255	0.7692	18.63	0.7277	14	2.397	27.58	47.3
256	0.7662	18.78	0.7274	14	2.382	27.59	47.28
257	0.7632	18.92	0.7271	14	2.368	27.61	47.26
258	0.7603	19.07	0.7268	14	2.353	27.62	47.24
259	0.7574	19.22	0.7265	14	2.339	27.63	47.22
260	0.7544	19.37	0.7262	14	2.325	27.64	47.2
261	0.7515	19.52	0.7259	14	2.311	27.65	47.18
262	0.7487	19.67	0.7256	14	2.297	27.66	47.16
263	0.7458	19.82	0.7253	14	2.284	27.67	47.14
264	0.743	19.97	0.725	14	2.27	27.68	47.13
265	0.7402	20.12	0.7247	14	2.257	27.7	47.11
266	0.7374	20.27	0.7244	14	2.244	27.71	47.09
267	0.7347	20.42	0.7242	14	2.231	27.72	47.07
268	0.7319	20.58	0.7239	14	2.218	27.73	47.05
269	0.7292	20.73	0.7236	14	2.205	27.74	47.04
270	0.7265	20.89	0.7234	14	2.192	27.75	47.02
271	0.7238	21.04	0.7231	14	2.179	27.76	47
272	0.7212	21.2	0.7228	14	2.167	27.77	46.98
273	0.7185	21.35	0.7226	14	2.155	27.78	46.97
274	0.7159	21.51	0.7223	14	2.142	27.79	46.95
275	0.7133	21.67	0.722	14	2.13	27.8	46.93
276	0.7107	21.83	0.7218	14	2.118	27.81	46.92
277	0.7081	21.98	0.7215	14	2.106	27.82	46.9
278	0.7056	22.14	0.7213	14	2.094	27.83	46.88
279	0.7031	22.3	0.721	14	2.082	27.84	46.86
280	0.7005	22.46	0.7207	14	2.071	27.85	46.85
281	0.6981	22.62	0.7205	14	2.059	27.86	46.83
282	0.6956	22.78	0.7202	14	2.048	27.87	46.81
283	0.6931	22.95	0.72	14	2.036	27.88	46.8
284	0.6907	23.11	0.7197	14	2.025	27.89	46.78
285	0.6883	23.27	0.7194	14	2.014	27.9	46.76
286	0.6859	23.44	0.7192	14	2.003	27.91	46.75
287	0.6835	23.6	0.7189	14	1.992	27.92	46.73
288	0.6811	23.76	0.7186	14	1.981	27.93	46.71
289	0.6787	23.93	0.7184	14	1.97	27.94	46.69
290	0.6764	24.1	0.7181	14	1.959	27.95	46.68
291	0.6741	24.26	0.7178	14	1.948	27.96	46.66
292	0.6718	24.43	0.7176	14	1.938	27.97	46.64
293	0.6695	24.6	0.7173	14	1.927	27.98	46.62
294	0.6672	24.76	0.717	14	1.917	27.99	46.61
295	0.6649	24.93	0.7167	14	1.906	28	46.59
296	0.6627	25.1	0.7165	14	1.896	28.01	46.57
297	0.6605	25.27	0.7162	14	1.885	28.03	46.55
298	0.6582	25.44	0.7159	14	1.875	28.04	46.53
299	0.656	25.61	0.7156	14	1.865	28.05	46.52
300	0.6538	25.79	0.7154	14	1.855	28.06	46.5
301	0.6517	25.96	0.7151	14	1.845	28.07	46.48
302	0.6495	26.13	0.7149	14	1.835	28.08	46.47
303	0.6474	26.3	0.7146	14	1.826	28.09	46.45
304	0.6452	26.48	0.7144	14	1.816	28.1	46.44
305	0.6431	26.65	0.7142	14	1.807	28.1	46.42
306	0.641	26.83	0.7139	14	1.798	28.11	46.41
307	0.6389	27	0.7137	14	1.789	28.12	46.39
308	0.6369	27.18	0.7135	14	1.78	28.13	46.38
309	0.6348	27.36	0.7133	14	1.771	28.14	46.36
310	0.6328	27.53	0.713	14	1.762	28.15	46.35
311	0.6307	27.71	0.7128	14	1.754	28.16	46.33
312	0.6287	27.89	0.7125	14	1.745	28.17	46.32
313	0.6267	28.07	0.7123	14	1.736	28.18	46.3
314	0.6247	28.25	0.712	14	1.728	28.19	46.28
315	0.6227	28.43	0.7118	14	1.719	28.2	46.27
316	0.6207	28.61	0.7115	14	1.711	28.21	46.25
317	0.6188	28.79	0.7112	14	1.702	28.22	46.23
318	0.6168	28.97	0.711	14	1.694	28.23	46.21
319	0.6149	29.16	0.7107	14	1.686	28.24	46.19
320	0.613	29.34	0.7104	14	1.677	28.25	46.18
321	0.6111	29.52	0.7101	14	1.669	28.27	46.15
322	0.6092	29.71	0.7098	14	1.661	28.28	46.14
323	0.6073	29.89	0.7095	14	1.653	28.29	46.12
324	0.6054	30.08	0.7092	14	1.645	28.3	46.1
325	0.6036	30.26	0.7089	14	1.637	28.31	46.08
326	0.6017	30.45	0.7086	14	1.629	28.33	46.06
327	0.5999	30.64	0.7083	14	1.621	28.34	46.04
328	0.598	30.82	0.708	14	1.613	28.35	46.02
329	0.5962	31.01	0.7077	14	1.605	28.36	46
330	0.5944	31.2	0.7074	14	1.597	28.38	45.98
331	0.5926	31.39	0.707	14	1.589	28.39	45.96
332	0.5908	31.58	0.7067	14	1.582	28.4	45.94
333	0.5891	31.77	0.7064	14	1.574	28.41	45.91
334	0.5873	31.96	0.706	14	1.566	28.43	45.89
335	0.5855	32.15	0.7057	14	1.559	28.44	45.87
336	0.5838	32.35	0.7054	14	1.551	28.46	45.85
337	0.5821	32.54	0.705	14	1.544	28.47	45.83
338	0.5803	32.73	0.7047	14	1.536	28.48	45.8
339	0.5786	32.93	0.7043	14	1.529	28.5	45.78
340	0.5769	33.12	0.704	14	1.521	28.51	45.76
341	0.5752	33.32	0.7036	14	1.514	28.53	45.73
342	0.5735	33.51	0.7032	14	1.507	28.54	45.71
343	0.5719	33.71	0.7029	14	1.499	28.56	45.69
344	0.5702	33.9	0.7025	14	1.492	28.57	45.66
345	0.5686	34.1	0.7021	14	1.485	28.59	45.64
346	0.5669	34.3	0.7017	14	1.478	28.6	45.61
347	0.5653	34.5	0.7013	14	1.47	28.62	45.59
348	0.5637	34.7	0.7009	14	1.463	28.64	45.56
349	0.562	34.9	0.7005	14	1.456	28.65	45.53
350	0.5604	35.1	0.7001	14	1.449	28.67	45.51
351	0.5588	35.3	0.6997	14	1.442	28.69	45.48
352	0.5573	35.5	0.6993	14	1.435	28.7	45.45
353	0.5557	35.7	0.6989	14	1.428	28.72	45.43
354	0.5541	35.9	0.6985	14	1.421	28.74	45.4
355	0.5525	36.11	0.698	14	1.414	28.75	45.37
356	0.551	36.31	0.6975	14	1.407	28.78	45.34
357	0.5495	36.52	0.6971	14	1.4	28.79	45.31
358	0.5479	36.72	0.6966	14	1.394	28.81	45.28
359	0.5464	36.93	0.6962	14	1.387	28.83	45.25
360	0.5449	37.13	0.6957	14	1.38	28.85	45.22
361	0.5434	37.34	0.6952	14	1.373	28.87	45.19
362	0.5419	37.55	0.6946	14	1.366	28.89	45.15
363	0.5404	37.75	0.6941	14	1.359	28.92	45.12
364	0.5389	37.96	0.6936	14	1.352	28.94	45.08
365	0.5374	38.17	0.693	14	1.345	28.96	45.05
366	0.5359	38.38	0.6924	14	1.338	28.99	45.01
367	0.5345	38.59	0.6918	14	1.331	29.01	44.97
368	0.533	38.8	0.6912	14	1.323	29.04	44.93
369	0.5316	39.01	0.6905	14	1.316	29.07	44.89
370	0.5301	39.22	0.6899	14	1.308	29.09	44.84
371	0.5287	39.44	0.6892	14	1.3	29.12	44.8
372	0.5273	39.65	0.6885	14	1.292	29.15	44.75
373	0.5259	39.86	0.6877	14	1.284	29.19	44.7
374	0.5245	40.08	0.6869	14	1.276	29.22	44.65
375	0.5231	40.29	0.6862	14	1.267	29.25	44.6
376	0.5217	40.51	0.6854	14	1.258	29.29	44.55
377	0.5203	40.72	0.6846	14	1.248	29.32	44.5
378	0.5189	40.94	0.6838	14	1.239	29.35	44.45
379	0.5176	41.15	0.683	14	1.229	29.39	44.4
380	0.5162	41.37	0.6823	14	1.218	29.42	44.35
381	0.5148	41.59	0.6816	14	1.208	29.45	44.3
382	0.5135	41.81	0.681	14	1.198	29.47	44.26
383	0.5122	42.03	0.6805	14	1.188	29.5	44.23
384	0.5108	42.25	0.6802	14	1.178	29.51	44.21
385	0.5095	42.47	0.6799	14	1.169	29.52	44.2
386	0.5082	42.69	0.6798	14	1.161	29.53	44.19
387	0.5069	42.91	0.6797	14	1.153	29.53	44.18
388	0.5056	43.13	0.6797	14	1.146	29.53	44.18
389	0.5043	43.35	0.68	14	1.14	29.52	44.2
390	0.503	43.58	0.6803	14	1.135	29.5	44.22
391	0.5017	43.8	0.6806	14	1.131	29.49	44.24
392	0.5004	44.03	0.681	14	1.127	29.47	44.26
393	0.4991	44.25	0.6814	14	1.124	29.46	44.29
394	0.4979	44.48	0.6817	14	1.121	29.44	44.31
395	0.4966	44.7	0.6821	14	1.119	29.43	44.34
396	0.4953	44.93	0.6824	14	1.116	29.41	44.36
397	0.4941	45.16	0.6827	14	1.114	29.4	44.37
398	0.4928	45.38	0.6829	14	1.111	29.39	44.39
399	0.4916	45.61	0.683	14	1.109	29.39	44.4
400	0.4904	45.84	0.6831	14	1.106	29.38	44.4
401	0.4892	46.07	0.6831	14	1.103	29.38	44.4
402	0.4879	46.3	0.683	14	1.1	29.39	44.4
403	0.4867	46.53	0.6829	14	1.096	29.39	44.39
404	0.4855	46.76	0.6828	14	1.093	29.39	44.38
405	0.4843	46.99	0.6827	14	1.089	29.4	44.38
406	0.4831	47.23	0.6825	14	1.086	29.41	44.36
407	0.482	47.46	0.6823	14	1.082	29.42	44.35
408	0.4808	47.69	0.6821	14	1.078	29.43	44.33
409	0.4796	47.93	0.6818	14	1.074	29.44	44.32
410	0.4784	48.16	0.6815	14	1.07	29.45	44.3
411	0.4773	48.4	0.6812	14	1.066	29.47	44.28
412	0.4761	48.63	0.6808	14	1.061	29.48	44.25
413	0.4749	48.87	0.6805	14	1.057	29.49	44.23
414	0.4738	49.11	0.6801	14	1.053	29.51	44.21
415	0.4727	49.34	0.6799	14	1.049	29.52	44.19
416	0.4715	49.58	0.6795	14	1.045	29.54	44.17
417	0.4704	49.82	0.6791	14	1.041	29.55	44.14
418	0.4693	50.06	0.6788	14	1.036	29.57	44.12
419	0.4681	50.3	0.6784	14	1.032	29.58	44.1
420	0.467	50.54	0.6781	14	1.028	29.6	44.08
421	0.4659	50.78	0.6777	14	1.024	29.62	44.05
422	0.4648	51.02	0.6774	14	1.02	29.63	44.03
423	0.4637	51.26	0.6771	14	1.016	29.64	44.01
424	0.4626	51.51	0.6767	14	1.012	29.66	43.99
425	0.4615	51.75	0.6764	14	1.009	29.67	43.96
426	0.4605	51.99	0.676	14	1.005	29.69	43.94
427	0.4594	52.24	0.6757	14	1.001	29.7	43.92
428	0.4583	52.48	0.6753	14	0.9971	29.72	43.9
429	0.4572	52.73	0.675	14	0.9933	29.74	43.87
430	0.4562	52.98	0.6746	14	0.9896	29.75	43.85
431	0.4551	53.22	0.6742	14	0.9858	29.77	43.82
432	0.4541	53.47	0.6739	14	0.9821	29.79	43.8
433	0.453	53.72	0.6736	14	0.9785	29.8	43.78
434	0.452	53.97	0.6732	14	0.975	29.82	43.76
435	0.4509	54.21	0.6728	14	0.9713	29.83	43.73
436	0.4499	54.46	0.6724	14	0.9677	29.85	43.7
437	0.4489	54.71	0.672	14	0.9641	29.87	43.68
438	0.4478	54.97	0.6716	14	0.9606	29.89	43.65
439	0.4468	55.22	0.6712	14	0.9571	29.9	43.63
440	0.4458	55.47	0.6708	14	0.9535	29.92	43.6
441	0.4448	55.72	0.6704	14	0.9501	29.94	43.58
442	0.4438	55.97	0.67	14	0.9466	29.96	43.55
443	0.4428	56.23	0.6696	14	0.9431	29.98	43.52
444	0.4418	56.48	0.6692	14	0.9397	29.99	43.5
445	0.4408	56.74	0.6688	14	0.9362	30.01	43.47
446	0.4398	56.99	0.6683	14	0.9328	30.03	43.44
447	0.4388	57.25	0.6679	14	0.9294	30.05	43.41
448	0.4378	57.5	0.6675	14	0.926	30.07	43.38
449	0.4369	57.76	0.667	14	0.9227	30.09	43.36
450	0.4359	58.02	0.6666	14	0.9193	30.11	43.33
451	0.4349	58.28	0.6661	14	0.916	30.13	43.3
452	0.434	58.54	0.6656	14	0.9126	30.15	43.27
453	0.433	58.79	0.6652	14	0.9093	30.17	43.24
454	0.4321	59.05	0.6647	14	0.906	30.2	43.21
455	0.4311	59.31	0.6642	14	0.9027	30.22	43.17
456	0.4302	59.58	0.6637	14	0.8994	30.24	43.14
457	0.4292	59.84	0.6633	14	0.8962	30.26	43.11
458	0.4283	60.1	0.6628	14	0.8929	30.29	43.08
459	0.4274	60.36	0.6622	14	0.8897	30.31	43.05
460	0.4264	60.63	0.6617	14	0.8864	30.33	43.01
461	0.4255	60.89	0.6612	14	0.8832	30.36	42.98
462	0.4246	61.15	0.6607	14	0.88	30.38	42.94
